rank,amount
2977,2500.0
2978,2500.0
2979,2500.0
2980,150.0
2981,150.0
2982,100.0
2983,1000.0
2984,1000.0
2985,500.0
2986,2500.0
2987,2500.0
2988,1000.0
2989,2500.0
2990,1000.0
2991,1175.0
2992,250.0
2993,250.0
2994,500.0
2995,1000.0
2996,1500.0
2997,2500.0
2998,500.0
2999,500.0
3000,500.0
3001,2500.0
3002,250.0
3003,5000.0
3004,500.0
3005,250.0
3006,1500.0
3007,2500.0
3008,250.0
3009,500.0
3010,250.0
3011,250.0
3012,50.0
3013,50.0
3014,50.0
3015,2500.0
3016,50.0
3017,500.0
3018,2000.0
3019,1500.0
3020,2500.0
3021,2500.0
3022,2500.0
3023,2500.0
3024,2500.0
3025,50.0
3026,50.0
3027,50.0
3028,500.0
3029,2500.0
3030,1000.0
3031,2500.0
3032,2500.0
3033,2500.0
3034,250.0
3035,250.0
3036,250.0
3037,2500.0
3038,1000.0
3039,500.0
3040,2500.0
3041,500.0
3042,1500.0
3043,1000.0
3044,100.0
3045,100.0
3046,1000.0
3047,500.0
3048,2000.0
3049,500.0
3050,500.0
3051,2500.0
3052,200.0
3053,3.0
3054,3.0
3055,5.0
3056,200.0
3057,200.0
3058,200.0
3059,250.0
3060,50.0
3061,50.0
3062,60.0
3063,60.0
3064,500.0
3065,500.0
3066,150.0
3067,150.0
3068,150.0
3069,100.0
3070,54.0
3071,2500.0
3072,1000.0
3073,500.0
3074,2500.0
3075,2500.0
3076,100.0
3077,2500.0
3078,2500.0
3079,5000.0
3081,2500.0
3082,2500.0
3083,2500.0
3084,1500.0
3085,180.0
3086,50.0
3087,2500.0
3088,500.0
3089,2500.0
3090,100.0
3091,100.0
3092,1000.0
3093,1000.0
3094,2500.0
3095,100.0
3096,2500.0
3097,2500.0
3098,220.0
3099,2500.0
3100,500.0
3101,1000.0
3102,250.0
3103,60.0
3104,3.0
3105,250.0
3106,1000.0
3107,2500.0
3108,500.0
3109,500.0
3110,200.0
3111,2500.0
3112,2500.0
3113,1000.0
3114,2500.0
3115,1000.0
3116,1000.0
3117,200.0
3118,250.0
3119,2500.0
3120,500.0
3121,2500.0
3122,2500.0
3123,240.0
3124,100.0
3125,2500.0
3126,400.0
3127,250.0
3128,250.0
3129,2500.0
3130,500.0
3131,1000.0
3132,500.0
3133,2500.0
3134,50.0
3135,50.0
3136,1000.0
3137,250.0
3138,35.0
3139,25.0
3140,375.0
3141,500.0
3142,50.0
3143,50.0
3144,50.0
3145,100.0
3146,100.0
3147,500.0
3148,500.0
3149,200.0
3150,250.0
3151,100.0
3152,2500.0
3153,2500.0
3154,100.0
3155,2300.0
3156,2500.0
3157,2500.0
3158,2500.0
3159,1500.0
3160,500.0
3161,1000.0
3162,50.0
3163,50.0
3164,50.0
3165,600.0
3166,100.0
3167,100.0
3168,100.0
3169,500.0
3170,1000.0
3171,2500.0
3172,2500.0
3173,2500.0
3174,200.0
3175,5.0
3176,300.0
3177,1000.0
3178,300.0
3179,2500.0
3180,990.0
3182,2500.0
3183,2500.0
3184,1000.0
3185,1000.0
3186,1000.0
3187,1500.0
3188,2500.0
3189,1000.0
3190,250.0
3191,250.0
3192,2000.0
3193,500.0
3194,2500.0
3195,100.0
3196,1000.0
3197,2500.0
3198,250.0
3199,2500.0
3200,2500.0
3201,2500.0
3202,100.0
3203,110.0
3204,2000.0
3205,2000.0
3207,1500.0
3208,1000.0
3209,2500.0
3210,2500.0
3211,200.0
3212,100.0
3213,200.0
3214,200.0
3215,200.0
3216,100.0
3217,100.0
3218,100.0
3219,30.0
3220,30.0
3221,35.0
3222,2500.0
3223,2500.0
3224,2500.0
3225,200.0
3226,2500.0
3227,1000.0
3228,1000.0
3229,1000.0
3230,2500.0
3231,2500.0
3232,500.0
3233,1000.0
3234,2500.0
3235,250.0
3236,500.0
3237,500.0
3238,250.0
3239,1475.0
3240,50.0
3241,50.0
3242,50.0
3243,50.0
3244,10.0
3245,2500.0
3246,61.0
3247,1000.0
3248,30.0
3249,500.0
3250,100.0
3251,250.0
3252,3000.0
3254,1500.0
3255,5000.0
3257,2500.0
3258,500.0
3259,110.0
3260,1250.0
3261,1250.0
3262,1000.0
3263,100.0
3264,300.0
3265,2500.0
3267,2500.0
3268,1500.0
3269,100.0
3270,25.0
3271,50.0
3272,50.0
3273,100.0
3274,2290.0
3275,2500.0
3276,500.0
3277,500.0
3278,2500.0
3279,2500.0
3280,1000.0
3281,2500.0
3282,2500.0
3283,2500.0
3284,1000.0
3285,2500.0
3286,2500.0
3287,2500.0
3288,2500.0
3289,1000.0
3290,1000.0
3291,100.0
3292,100.0
3293,100.0
3294,250.0
3295,250.0
3296,2500.0
3297,2500.0
3298,1000.0
3299,1000.0
3300,2500.0
3301,2500.0
3302,1000.0
3303,2500.0
3304,2500.0
3305,2500.0
3306,25.0
3307,15.0
3308,10.0
3309,20.0
3310,10.0
3311,10.0
3312,10.0
3313,1500.0
3314,500.0
3315,500.0
3316,250.0
3317,2500.0
3318,250.0
3319,250.0
3320,2500.0
3321,2000.0
3322,1500.0
3323,2500.0
3324,2500.0
3325,1000.0
3326,1000.0
3327,100.0
3328,100.0
3329,100.0
3330,250.0
3331,250.0
3332,2500.0
3333,2500.0
3334,100.0
3335,100.0
3336,1000.0
3337,1000.0
3338,1000.0
3339,1000.0
3340,100.0
3341,100.0
3342,50.0
3343,50.0
3344,50.0
3345,50.0
3346,2500.0
3347,2500.0
3348,250.0
3349,1000.0
3350,2500.0
3351,2500.0
3352,2500.0
3353,2500.0
3354,2500.0
3355,250.0
3356,2500.0
3357,3.0
3358,1000.0
3359,1000.0
3360,1500.0
3361,100.0
3362,1500.0
3363,2500.0
3364,25.0
3365,50.0
3366,50.0
3367,50.0
3368,1000.0
3369,2500.0
3370,2500.0
3371,2500.0
3372,2500.0
3373,500.0
3374,1000.0
3375,50.0
3376,200.0
3377,200.0
3378,250.0
3379,1750.0
3380,110.0
3381,110.0
3382,150.0
3383,250.0
3384,2500.0
3385,250.0
3386,50.0
3387,25.0
3388,25.0
3389,5.0
3390,25.0
3391,10.0
3392,100.0
3393,100.0
3394,50.0
3395,50.0
3396,500.0
3397,200.0
3398,2500.0
3399,50.0
3400,50.0
3401,50.0
3402,30.0
3403,50.0
3404,2500.0
3405,500.0
3406,1000.0
3407,2500.0
3408,1000.0
3409,100.0
3410,1000.0
3411,2500.0
3412,2000.0
3413,500.0
3414,500.0
3415,500.0
3416,1000.0
3417,500.0
3418,100.0
3419,150.0
3420,1000.0
3421,500.0
3422,2500.0
3423,1000.0
3424,1000.0
3425,250.0
3426,2500.0
3427,250.0
3428,1000.0
3429,2500.0
3430,2500.0
3431,1000.0
3432,35.0
3433,35.0
3434,35.0
3435,35.0
3436,250.0
3437,2500.0
3438,1000.0
3439,2500.0
3440,2500.0
3441,50.0
3442,2500.0
3443,1000.0
3444,2500.0
3445,2500.0
3446,250.0
3447,2500.0
3448,2500.0
3449,50.0
3450,1000.0
3451,250.0
3452,500.0
3453,1000.0
3454,750.0
3455,250.0
3456,1000.0
3457,1000.0
3458,1000.0
3459,1000.0
3460,2500.0
3461,200.0
3462,500.0
3463,50.0
3464,50.0
3465,1000.0
3466,500.0
3467,500.0
3468,2500.0
3469,100.0
3470,100.0
3471,1000.0
3472,500.0
3473,75.0
3474,85.0
3475,500.0
3476,110.0
3477,100.0
3478,150.0
3479,500.0
3480,100.0
3481,100.0
3482,500.0
3483,2500.0
3484,2500.0
3485,500.0
3486,5000.0
3487,500.0
3488,2500.0
3489,175.0
3490,175.0
3491,175.0
3492,1200.0
3493,125.0
3494,125.0
3495,1250.0
3496,125.0
3497,1000.0
3498,2500.0
3499,2500.0
3500,50.0
3501,50.0
3502,200.0
3503,2500.0
3504,2500.0
3505,500.0
3506,75.0
